,1 ADULT,1 ADULT,1 ADULT,1 ADULT,2 ADULTS(1 WORKING),2 ADULTS(1 WORKING),2 ADULTS(1 WORKING),2 ADULTS(1 WORKING),2 ADULTS(BOTH WORKING),2 ADULTS(BOTH WORKING),2 ADULTS(BOTH WORKING),2 ADULTS(BOTH WORKING),County,State,URL,Unnamed: 0_level_0
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Franklin County,Alabama,https://livingwage.mit.edu/counties/01059,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Franklin County,Alabama,https://livingwage.mit.edu/counties/01059,Minimum Wage
0,$13.02,$25.50,$30.89,$38.87,$21.21,$25.52,$29.12,$30.78,$10.61,$14.14,$17.32,$19.52,Geneva County,Alabama,https://livingwage.mit.edu/counties/01061,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Geneva County,Alabama,https://livingwage.mit.edu/counties/01061,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Geneva County,Alabama,https://livingwage.mit.edu/counties/01061,Minimum Wage
0,$12.81,$25.54,$31.34,$39.71,$21.44,$25.13,$28.74,$30.35,$10.72,$14.16,$17.55,$19.94,Greene County,Alabama,https://livingwage.mit.edu/counties/01063,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Greene County,Alabama,https://livingwage.mit.edu/counties/01063,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Greene County,Alabama,https://livingwage.mit.edu/counties/01063,Minimum Wage
0,$14.55,$27.48,$33.29,$41.96,$22.86,$27.08,$30.68,$32.60,$11.43,$15.13,$18.52,$21.07,Hale County,Alabama,https://livingwage.mit.edu/counties/01065,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Hale County,Alabama,https://livingwage.mit.edu/counties/01065,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Hale County,Alabama,https://livingwage.mit.edu/counties/01065,Minimum Wage
0,$12.84,$25.12,$30.50,$38.45,$21.31,$25.13,$28.74,$30.35,$10.66,$13.95,$17.13,$19.31,Henry County,Alabama,https://livingwage.mit.edu/counties/01067,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Henry County,Alabama,https://livingwage.mit.edu/counties/01067,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Henry County,Alabama,https://livingwage.mit.edu/counties/01067,Minimum Wage
0,$13.02,$25.50,$30.89,$38.87,$21.21,$25.52,$29.12,$30.78,$10.61,$14.14,$17.32,$19.52,Houston County,Alabama,https://livingwage.mit.edu/counties/01069,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Houston County,Alabama,https://livingwage.mit.edu/counties/01069,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Houston County,Alabama,https://livingwage.mit.edu/counties/01069,Minimum Wage
0,$12.44,$25.11,$30.23,$37.61,$21.53,$25.38,$28.99,$30.29,$10.76,$13.94,$16.99,$18.89,Jackson County,Alabama,https://livingwage.mit.edu/counties/01071,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Jackson County,Alabama,https://livingwage.mit.edu/counties/01071,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Jackson County,Alabama,https://livingwage.mit.edu/counties/01071,Minimum Wage
0,$15.16,$28.54,$34.69,$44.12,$23.74,$27.80,$31.40,$33.74,$11.87,$15.66,$19.22,$22.15,Jefferson County,Alabama,https://livingwage.mit.edu/counties/01073,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Jefferson County,Alabama,https://livingwage.mit.edu/counties/01073,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Jefferson County,Alabama,https://livingwage.mit.edu/counties/01073,Minimum Wage
0,$12.81,$25.54,$31.34,$40.14,$21.44,$25.13,$28.74,$30.78,$10.72,$14.16,$17.55,$20.16,Lamar County,Alabama,https://livingwage.mit.edu/counties/01075,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Lamar County,Alabama,https://livingwage.mit.edu/counties/01075,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Lamar County,Alabama,https://livingwage.mit.edu/counties/01075,Minimum Wage
0,$12.98,$26.92,$33.37,$42.36,$21.63,$25.86,$29.46,$31.05,$10.82,$14.84,$18.56,$21.26,Lauderdale County,Alabama,https://livingwage.mit.edu/counties/01077,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Lauderdale County,Alabama,https://livingwage.mit.edu/counties/01077,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Lauderdale County,Alabama,https://livingwage.mit.edu/counties/01077,Minimum Wage
0,$12.85,$26.72,$33.18,$42.19,$21.50,$25.67,$29.27,$30.88,$10.75,$14.75,$18.46,$21.18,Lawrence County,Alabama,https://livingwage.mit.edu/counties/01079,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Lawrence County,Alabama,https://livingwage.mit.edu/counties/01079,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Lawrence County,Alabama,https://livingwage.mit.edu/counties/01079,Minimum Wage
0,$13.45,$27.54,$33.93,$43.25,$22.05,$26.55,$30.15,$32.14,$11.02,$15.16,$18.84,$21.71,Lee County,Alabama,https://livingwage.mit.edu/counties/01081,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Lee County,Alabama,https://livingwage.mit.edu/counties/01081,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Lee County,Alabama,https://livingwage.mit.edu/counties/01081,Minimum Wage
0,$13.47,$27.40,$33.85,$43.26,$22.31,$26.34,$29.95,$31.95,$11.16,$15.09,$18.80,$21.72,Limestone County,Alabama,https://livingwage.mit.edu/counties/01083,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Limestone County,Alabama,https://livingwage.mit.edu/counties/01083,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Limestone County,Alabama,https://livingwage.mit.edu/counties/01083,Minimum Wage
0,$13.58,$27.37,$33.45,$42.19,$22.61,$26.69,$30.29,$32.00,$11.30,$15.07,$18.60,$21.18,Lowndes County,Alabama,https://livingwage.mit.edu/counties/01085,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Lowndes County,Alabama,https://livingwage.mit.edu/counties/01085,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Lowndes County,Alabama,https://livingwage.mit.edu/counties/01085,Minimum Wage
0,$12.85,$26.30,$32.69,$41.32,$21.06,$25.31,$28.92,$30.20,$10.53,$14.54,$18.22,$20.74,Macon County,Alabama,https://livingwage.mit.edu/counties/01087,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Macon County,Alabama,https://livingwage.mit.edu/counties/01087,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Macon County,Alabama,https://livingwage.mit.edu/counties/01087,Minimum Wage
0,$13.47,$27.40,$33.85,$43.26,$22.31,$26.34,$29.95,$31.95,$11.16,$15.09,$18.80,$21.72,Madison County,Alabama,https://livingwage.mit.edu/counties/01089,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Madison County,Alabama,https://livingwage.mit.edu/counties/01089,Poverty Wage
2,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Madison County,Alabama,https://livingwage.mit.edu/counties/01089,Minimum Wage
0,$12.81,$25.54,$31.34,$40.20,$21.44,$25.13,$28.74,$30.83,$10.72,$14.16,$17.55,$20.19,Marengo County,Alabama,https://livingwage.mit.edu/counties/01091,Living Wage
