FIPS_Code,State,Area_name,Civilian_labor_force_2000,Employed_2000,Unemployed_2000,Unemployment_rate_2000,Civilian_labor_force_2001,Employed_2001,Unemployed_2001,Unemployment_rate_2001,Civilian_labor_force_2002,Employed_2002,Unemployed_2002,Unemployment_rate_2002,Civilian_labor_force_2003,Employed_2003,Unemployed_2003,Unemployment_rate_2003,Civilian_labor_force_2004,Employed_2004,Unemployed_2004,Unemployment_rate_2004,Civilian_labor_force_2005,Employed_2005,Unemployed_2005,Unemployment_rate_2005,Civilian_labor_force_2006,Employed_2006,Unemployed_2006,Unemployment_rate_2006,Civilian_labor_force_2007,Employed_2007,Unemployed_2007,Unemployment_rate_2007,Civilian_labor_force_2008,Employed_2008,Unemployed_2008,Unemployment_rate_2008,Civilian_labor_force_2009,Employed_2009,Unemployed_2009,Unemployment_rate_2009,Civilian_labor_force_2010,Employed_2010,Unemployed_2010,Unemployment_rate_2010,Civilian_labor_force_2011,Employed_2011,Unemployed_2011,Unemployment_rate_2011,Civilian_labor_force_2012,Employed_2012,Unemployed_2012,Unemployment_rate_2012,Civilian_labor_force_2013,Employed_2013,Unemployed_2013,Unemployment_rate_2013,Civilian_labor_force_2014,Employed_2014,Unemployed_2014,Unemployment_rate_2014,Civilian_labor_force_2015,Employed_2015,Unemployed_2015,Unemployment_rate_2015,Civilian_labor_force_2016,Employed_2016,Unemployed_2016,Unemployment_rate_2016,Civilian_labor_force_2017,Employed_2017,Unemployed_2017,Unemployment_rate_2017,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Civilian_labor_force_2019,Employed_2019,Unemployed_2019,Unemployment_rate_2019,Civilian_labor_force_2020,Employed_2020,Unemployed_2020,Unemployment_rate_2020,Median_Household_Income_2019,Med_HH_Income_Percent_of_State_Total_2019,Rural_urban_continuum_code_2013,Urban_influence_code_2013,Metro_2013
1021,AL,"Chilton County, AL",19601,18752,849,4.3,19580,18631,949,4.8,19452,18456,996,5.1,19557,18581,976,5,19650,18738,912,4.6,19623,18859,764,3.9,19792,19087,705,3.6,19777,19093,684,3.5,19609,18583,1026,5.2,19393,17501,1892,9.8,19474,17502,1972,10.1,19536,17761,1775,9.1,19396,17960,1436,7.4,19339,18052,1287,6.7,19130,17938,1192,6.2,19089,18005,1084,5.7,19029,17982,1047,5.5,19203,18396,807,4.2,19538,18834,704,3.6,19841,19296,545,2.7,19592,18618,974,5,49692,95.98423767,1,1,1
1023,AL,"Choctaw County, AL",6226,5815,411,6.6,5907,5481,426,7.2,5749,5239,510,8.9,5672,5107,565,10,5465,5002,463,8.5,5285,4940,345,6.5,5335,5038,297,5.6,5197,4882,315,6.1,5076,4638,438,8.6,5106,4474,632,12.4,4857,4225,632,13,4760,4140,620,13,4798,4292,506,10.5,4701,4261,440,9.4,4501,4098,403,9,4369,3969,400,9.2,4292,3926,366,8.5,4398,4112,286,6.5,4729,4471,258,5.5,4645,4427,218,4.7,4621,4313,308,6.7,39808,76.89247131,9,10,0
1025,AL,"Clarke County, AL",11677,10814,863,7.4,11094,9998,1096,9.9,10752,9775,977,9.1,10809,9882,927,8.6,10395,9483,912,8.8,10098,9457,641,6.3,10268,9636,632,6.2,10386,9744,642,6.2,10366,9401,965,9.3,10298,8728,1570,15.2,9088,7316,1772,19.5,8827,7185,1642,18.6,8397,7107,1290,15.4,8286,7130,1156,14,8166,7177,989,12.1,7976,7036,940,11.8,7889,7030,859,10.9,7725,7049,676,8.8,7628,7062,566,7.4,7588,7151,437,5.8,7769,7069,700,9,43822,84.64584351,7,11,0
1027,AL,"Clay County, AL",6608,6199,409,6.2,6405,6012,393,6.1,6165,5780,385,6.2,5946,5516,430,7.2,5894,5525,369,6.3,5934,5642,292,4.9,6189,5911,278,4.5,6130,5784,346,5.6,5739,5269,470,8.2,5596,4737,859,15.4,5844,5016,828,14.2,5593,4937,656,11.7,5419,4899,520,9.6,5390,4933,457,8.5,5521,5128,393,7.1,5535,5194,341,6.2,5579,5247,332,6,5781,5522,259,4.5,5985,5757,228,3.8,6068,5886,182,3,6083,5838,245,4,40562,78.34888458,9,10,0
1029,AL,"Cleburne County, AL",7002,6715,287,4.1,6964,6594,370,5.3,6794,6454,340,5,6698,6295,403,6,6689,6340,349,5.2,6642,6382,260,3.9,6646,6415,231,3.5,6497,6255,242,3.7,6557,6213,344,5.2,6499,5893,606,9.3,6035,5441,594,9.8,5939,5367,572,9.6,5842,5351,491,8.4,5825,5372,453,7.8,5864,5479,385,6.6,5664,5321,343,6.1,5738,5394,344,6,5709,5444,265,4.6,5770,5525,245,4.2,5773,5590,183,3.2,5737,5475,262,4.6,51276,99.04386902,8,4,0
1031,AL,"Coffee County, AL",20037,18861,1176,5.9,19397,18179,1218,6.3,19359,18354,1005,5.2,20010,18917,1093,5.5,20240,19173,1067,5.3,20052,19277,775,3.9,20712,19945,767,3.7,21124,20304,820,3.9,20908,19859,1049,5,21423,19755,1668,7.8,21099,19313,1786,8.5,20745,19068,1677,8.1,20625,19135,1490,7.2,20495,19065,1430,7,20264,18926,1338,6.6,20222,19010,1212,6,20429,19227,1202,5.9,20831,19887,944,4.5,20916,20096,820,3.9,21741,21108,633,2.9,21502,20558,944,4.4,57299,110.6777954,4,5,0
1033,AL,"Colbert County, AL",26124,24657,1467,5.6,25768,23982,1786,6.9,25050,22957,2093,8.4,24659,22821,1838,7.5,24766,23030,1736,7,24892,23557,1335,5.4,25331,24162,1169,4.6,25446,24250,1196,4.7,25171,23478,1693,6.7,25324,22625,2699,10.7,24229,21499,2730,11.3,24385,21915,2470,10.1,24057,21895,2162,9,23879,21891,1988,8.3,24069,22082,1987,8.3,23550,21673,1877,8,23261,21640,1621,7,23195,21950,1245,5.4,23441,22371,1070,4.6,23703,22811,892,3.8,23558,22008,1550,6.6,46683,90.17210388,3,2,1
1035,AL,"Conecuh County, AL",5521,5158,363,6.6,5307,4916,391,7.4,5179,4754,425,8.2,5169,4728,441,8.5,5063,4639,424,8.4,5173,4855,318,6.1,5127,4840,287,5.6,4979,4653,326,6.5,4886,4413,473,9.7,4853,3959,894,18.4,4982,4140,842,16.9,4778,4059,719,15,4643,4077,566,12.2,4694,4183,511,10.9,4724,4239,485,10.3,4671,4238,433,9.3,4512,4131,381,8.4,4479,4196,283,6.3,4493,4261,232,5.2,4499,4320,179,4,4529,4198,331,7.3,41539,80.23603821,7,11,0
1037,AL,"Coosa County, AL",5329,5038,291,5.5,5333,4969,364,6.8,5198,4712,486,9.3,5076,4662,414,8.2,4914,4569,345,7,4879,4635,244,5,4797,4531,266,5.5,4698,4421,277,5.9,4664,4266,398,8.5,4557,3884,673,14.8,4648,3946,702,15.1,4472,3920,552,12.3,4451,4025,426,9.6,4449,4036,413,9.3,4474,4082,392,8.8,4416,4119,297,6.7,4344,4084,260,6,4368,4157,211,4.8,4408,4226,182,4.1,4505,4370,135,3,4392,4150,242,5.5,42024,81.17285919,8,3,0
1039,AL,"Covington County, AL",17436,16221,1215,7,16954,15866,1088,6.4,17148,16128,1020,5.9,17389,16182,1207,6.9,17185,16051,1134,6.6,16888,16131,757,4.5,17213,16553,660,3.8,17108,16432,676,4,16805,15773,1032,6.1,16672,15021,1651,9.9,16428,14753,1675,10.2,16372,14772,1600,9.8,16364,14960,1404,8.6,16055,14737,1318,8.2,15940,14706,1234,7.7,15422,14314,1108,7.2,15366,14325,1041,6.8,15678,14836,842,5.4,15585,14874,711,4.6,15545,15007,538,3.5,15172,14434,738,4.9,44836,86.6044693,6,6,0
1041,AL,"Crenshaw County, AL",6155,5800,355,5.8,6038,5671,367,6.1,5845,5489,356,6.1,5943,5541,402,6.8,5822,5428,394,6.8,6169,5869,300,4.9,6602,6341,261,4,6562,6273,289,4.4,6464,6093,371,5.7,6424,5810,614,9.6,6290,5658,632,10,6432,5801,631,9.8,6257,5725,532,8.5,6306,5817,489,7.8,6310,5875,435,6.9,6339,5957,382,6,6401,6024,377,5.9,6387,6088,299,4.7,6341,6085,256,4,6436,6253,183,2.8,6253,5896,357,5.7,43309,83.65494537,8,6,0
1043,AL,"Cullman County, AL",38898,37274,1624,4.2,38206,36421,1785,4.7,38052,35757,2295,6,38430,36205,2225,5.8,38522,36544,1978,5.1,38393,36863,1530,4,39418,38081,1337,3.4,39449,38100,1349,3.4,39092,37118,1974,5,38449,34838,3611,9.4,35983,32272,3711,10.3,35673,32295,3378,9.5,35607,32795,2812,7.9,35750,33333,2417,6.8,35984,33812,2172,6,36296,34376,1920,5.3,37594,35720,1874,5,37716,36259,1457,3.9,37942,36702,1240,3.3,38541,37533,1008,2.6,38310,36660,1650,4.3,50897,98.3117981,4,3,0
1045,AL,"Dale County, AL",20923,19820,1103,5.3,20248,19112,1136,5.6,20321,19162,1159,5.7,20628,19543,1085,5.3,20524,19439,1085,5.3,20116,19227,889,4.4,20498,19550,948,4.6,20295,19477,818,4,19834,18724,1110,5.6,20000,18232,1768,8.8,22099,20167,1932,8.7,22020,20197,1823,8.3,21388,19757,1631,7.6,20732,19180,1552,7.5,20351,18919,1432,7,19789,18524,1265,6.4,19796,18648,1148,5.8,19882,18964,918,4.6,20169,19331,838,4.2,20600,19951,649,3.2,20710,19701,1009,4.9,45120,87.15303802,4,5,0
1047,AL,"Dallas County, AL",17948,16487,1461,8.1,17596,15965,1631,9.3,17190,15224,1966,11.4,16845,14944,1901,11.3,16375,14754,1621,9.9,15956,14603,1353,8.5,15909,14614,1295,8.1,15605,14279,1326,8.5,15508,13732,1776,11.5,15671,12607,3064,19.6,17782,14839,2943,16.6,17493,14874,2619,15,16780,14565,2215,13.2,16290,14270,2020,12.4,16026,14234,1792,11.2,15555,14056,1499,9.6,15293,13880,1413,9.2,15002,13843,1159,7.7,14819,13861,958,6.5,14655,13850,805,5.5,14619,13049,1570,10.7,34034,65.73950958,4,5,0
1049,AL,"DeKalb County, AL",32516,31194,1322,4.1,32429,30852,1577,4.9,32483,30806,1677,5.2,32347,30498,1849,5.7,32081,30251,1830,5.7,31156,29582,1574,5.1,31526,30219,1307,4.1,31084,29731,1353,4.4,30689,28841,1848,6,29733,25834,3899,13.1,30918,27084,3834,12.4,29778,26292,3486,11.7,28868,26193,2675,9.3,29011,26768,2243,7.7,28997,27014,1983,6.8,28700,26949,1751,6.1,28996,27232,1764,6.1,29494,28128,1366,4.6,30158,29014,1144,3.8,31148,30270,878,2.8,30736,29348,1388,4.5,44277,85.52471161,6,6,0
1051,AL,"Elmore County, AL",31195,29944,1251,4,31655,30297,1358,4.3,31773,30247,1526,4.8,32734,31066,1668,5.1,33317,31718,1599,4.8,34361,33084,1277,3.7,35207,34016,1191,3.4,35880,34669,1211,3.4,36219,34306,1913,5.3,36337,33185,3152,8.7,36732,33435,3297,9,36611,33538,3073,8.4,36657,34045,2612,7.1,36888,34585,2303,6.2,36610,34530,2080,5.7,36655,34803,1852,5.1,36921,35161,1760,4.8,37109,35697,1412,3.8,37424,36140,1284,3.4,37236,36257,979,2.6,36620,34843,1777,4.9,62310,120.3569565,2,2,1
1053,AL,"Escambia County, AL",16199,15348,851,5.3,15632,14663,969,6.2,14965,13659,1306,8.7,14700,13438,1262,8.6,14313,13243,1070,7.5,14289,13500,789,5.5,14362,13654,708,4.9,14324,13549,775,5.4,14424,13295,1129,7.8,14683,12863,1820,12.4,15000,13266,1734,11.6,14967,13361,1606,10.7,14749,13358,1391,9.4,14281,13037,1244,8.7,14389,13244,1145,8,14564,13535,1029,7.1,14433,13472,961,6.7,14408,13667,741,5.1,14360,13714,646,4.5,14613,14095,518,3.5,14453,13589,864,6,42712,82.50178528,6,6,0
1055,AL,"Etowah County, AL",48496,45652,2844,5.9,47060,43918,3142,6.7,47036,44025,3011,6.4,46572,43543,3029,6.5,47203,44228,2975,6.3,46638,44443,2195,4.7,46568,44610,1958,4.2,45565,43491,2074,4.6,45741,42914,2827,6.2,44839,40128,4711,10.5,44018,39278,4740,10.8,44723,40258,4465,10,44283,40540,3743,8.5,43830,40453,3377,7.7,43798,40729,3069,7,42586,39936,2650,6.2,42914,40372,2542,5.9,42949,40915,2034,4.7,43062,41304,1758,4.1,42462,41026,1436,3.4,40724,37598,3126,7.7,43047,83.14886475,3,2,1
1057,AL,"Fayette County, AL",8332,7839,493,5.9,8195,7672,523,6.4,7906,7230,676,8.6,8080,7523,557,6.9,7881,7343,538,6.8,7865,7516,349,4.4,7750,7424,326,4.2,7405,7049,356,4.8,7123,6591,532,7.5,6930,6037,893,12.9,6827,5955,872,12.8,6627,5899,728,11,6511,5936,575,8.8,6401,5862,539,8.4,6359,5863,496,7.8,6406,5954,452,7.1,6542,6100,442,6.8,6536,6218,318,4.9,6501,6237,264,4.1,6582,6376,206,3.1,6562,6236,326,5,44212,85.39916229,6,6,0
1059,AL,"Franklin County, AL",14729,13756,973,6.6,14056,12971,1085,7.7,13732,12190,1542,11.2,13617,12319,1298,9.5,13452,12527,925,6.9,13752,13030,722,5.3,13952,13310,642,4.6,13774,13126,648,4.7,13389,12363,1026,7.7,13171,11547,1624,12.3,14252,12752,1500,10.5,14351,12992,1359,9.5,13989,12790,1199,8.6,13668,12552,1116,8.2,13737,12681,1056,7.7,13628,12746,882,6.5,13752,12941,811,5.9,13934,13320,614,4.4,14229,13702,527,3.7,14592,14185,407,2.8,14424,13786,638,4.4,44874,86.6778717,6,6,0
1061,AL,"Geneva County, AL",12261,11631,630,5.1,12126,11336,790,6.5,11744,11163,581,4.9,11768,11114,654,5.6,11700,11132,568,4.9,11598,11149,449,3.9,11712,11274,438,3.7,11559,11153,406,3.5,11338,10697,641,5.7,11143,10043,1100,9.9,11564,10385,1179,10.2,11485,10434,1051,9.2,11283,10408,875,7.8,11035,10255,780,7.1,10813,10093,720,6.7,10761,10120,641,6,10720,10097,623,5.8,10755,10272,483,4.5,10825,10400,425,3.9,10930,10606,324,3,10835,10391,444,4.1,43089,83.22999573,3,2,1
1063,AL,"Greene County, AL",3534,3291,243,6.9,3516,3262,254,7.2,3534,3234,300,8.5,3517,3219,298,8.5,3484,3184,300,8.6,3447,3218,229,6.6,3395,3206,189,5.6,3293,3080,213,6.5,3284,2995,289,8.8,3110,2672,438,14.1,3302,2741,561,17,3220,2669,551,17.1,3132,2698,434,13.9,2996,2608,388,13,2990,2619,371,12.4,2872,2552,320,11.1,2848,2564,284,10,2845,2623,222,7.8,2849,2660,189,6.6,2889,2727,162,5.6,3015,2687,328,10.9,28699,55.43450928,8,6,0
1065,AL,"Hale County, AL",7023,6596,427,6.1,7063,6547,516,7.3,7077,6481,596,8.4,7114,6513,601,8.4,7052,6528,524,7.4,7033,6654,379,5.4,7176,6802,374,5.2,6994,6611,383,5.5,6997,6461,536,7.7,6828,5933,895,13.1,6439,5485,954,14.8,6288,5428,860,13.7,6223,5492,731,11.7,6206,5475,731,11.8,6041,5448,593,9.8,6034,5562,472,7.8,5933,5478,455,7.7,5932,5568,364,6.1,5954,5653,301,5.1,6076,5834,242,4,6075,5503,572,9.4,40745,78.70236206,3,2,1
1067,AL,"Henry County, AL",7684,7302,382,5,7587,7174,413,5.4,7554,7096,458,6.1,7524,7091,433,5.8,7554,7136,418,5.5,7449,7130,319,4.3,7514,7214,300,4,7559,7144,415,5.5,7383,6794,589,8,7109,6380,729,10.3,7265,6483,782,10.8,7269,6566,703,9.7,7037,6439,598,8.5,6950,6407,543,7.8,6788,6281,507,7.5,6702,6243,459,6.8,6666,6231,435,6.5,6695,6359,336,5,6800,6500,300,4.4,6882,6632,250,3.6,6814,6487,327,4.8,48597,93.86915588,3,2,1
1069,AL,"Houston County, AL",45464,43444,2020,4.4,45013,43058,1955,4.3,44887,42753,2134,4.8,45369,43175,2194,4.8,45962,43838,2124,4.6,45983,44236,1747,3.8,46752,45164,1588,3.4,47278,45671,1607,3.4,46447,44096,2351,5.1,45841,41941,3900,8.5,46463,42261,4202,9,46794,42767,4027,8.6,46100,42525,3575,7.8,45669,42463,3206,7,45224,42172,3052,6.7,44440,41655,2785,6.3,44185,41621,2564,5.8,44585,42574,2011,4.5,45384,43556,1828,4,46298,44892,1406,3,46358,43861,2497,5.4,50138,96.84572601,3,2,1
1071,AL,"Jackson County, AL",28083,26612,1471,5.2,27183,25391,1792,6.6,26880,24984,1896,7.1,27293,25384,1909,7,27054,25230,1824,6.7,26705,25371,1334,5,27093,25889,1204,4.4,27084,25835,1249,4.6,26866,25153,1713,6.4,26247,23173,3074,11.7,24347,21514,2833,11.6,24160,21692,2468,10.2,23760,21669,2091,8.8,23669,21776,1893,8,23489,21792,1697,7.2,23407,21840,1567,6.7,23390,21911,1479,6.3,23049,21909,1140,4.9,23311,22361,950,4.1,23326,22550,776,3.3,22840,21637,1203,5.3,44322,85.6116333,6,5,0
1073,AL,"Jefferson County, AL",331141,317868,13273,4,327780,313445,14335,4.4,323104,306259,16845,5.2,322328,304626,17702,5.5,320629,303868,16761,5.2,316522,302586,13936,4.4,317080,304463,12617,4,315430,303023,12407,3.9,311643,294233,17410,5.6,306180,276008,30172,9.9,318651,286248,32403,10.2,319586,290057,29529,9.2,316771,292662,24109,7.6,315102,293809,21293,6.8,312706,293144,19562,6.3,310158,292165,17993,5.8,308632,290887,17745,5.7,309410,295805,13605,4.4,314427,302800,11627,3.7,316802,307648,9154,2.9,315957,296282,19675,6.2,54127,104.5508118,1,1,1
1075,AL,"Lamar County, AL",7497,6970,527,7,7267,6676,591,8.1,6983,6393,590,8.4,6716,6131,585,8.7,6385,5867,518,8.1,6115,5775,340,5.6,6048,5735,313,5.2,5871,5496,375,6.4,5698,5227,471,8.3,5503,4692,811,14.7,5797,5046,751,13,5821,5262,559,9.6,5810,5363,447,7.7,5795,5383,412,7.1,5634,5244,390,6.9,5602,5246,356,6.4,5643,5324,319,5.7,5726,5478,248,4.3,5718,5502,216,3.8,5802,5621,181,3.1,5730,5452,278,4.9,42686,82.4515686,8,7,0
1077,AL,"Lauderdale County, AL",43733,41531,2202,5,43083,40237,2846,6.6,42102,38470,3632,8.6,41360,38353,3007,7.3,41390,38777,2613,6.3,41949,39816,2133,5.1,42636,40853,1783,4.2,43357,41447,1910,4.4,42878,40330,2548,5.9,43319,39087,4232,9.8,43622,39278,4344,10,44046,40045,4001,9.1,43451,40035,3416,7.9,43109,39999,3110,7.2,43551,40434,3117,7.2,42544,39577,2967,7,42180,39490,2690,6.4,41942,39933,2009,4.8,42207,40450,1757,4.2,42448,41047,1401,3.3,41931,39610,2321,5.5,48188,93.07913971,3,2,1
1079,AL,"Lawrence County, AL",16682,15843,839,5,16621,15622,999,6,16142,15044,1098,6.8,15848,14793,1055,6.7,16003,14992,1011,6.3,15934,15053,881,5.5,15659,14910,749,4.8,15843,15181,662,4.2,15874,14809,1065,6.7,15702,13734,1968,12.5,14892,13052,1840,12.4,14775,13183,1592,10.8,14408,13078,1330,9.2,14273,13066,1207,8.5,14046,12896,1150,8.2,13642,12582,1060,7.8,13607,12665,942,6.9,13601,12909,692,5.1,13984,13406,578,4.1,14230,13779,451,3.2,14363,13660,703,4.9,47797,92.32389069,3,2,1
1081,AL,"Lee County, AL",58396,56042,2354,4,58555,56125,2430,4.1,59387,56661,2726,4.6,60840,58001,2839,4.7,62567,59815,2752,4.4,63367,61025,2342,3.7,64898,62706,2192,3.4,65467,63037,2430,3.7,65191,61678,3513,5.4,64799,59215,5584,8.6,66841,60891,5950,8.9,68331,62842,5489,8,68967,64169,4798,7,70447,66242,4205,6,71478,67506,3972,5.6,70690,66958,3732,5.3,71759,67995,3764,5.2,73263,70259,3004,4.1,74914,72196,2718,3.6,76375,74272,2103,2.8,75564,71629,3935,5.2,54160,104.6145554,3,2,1
